type,id
comment,_mRlKLfxpsQ
comment,CTYoC4S7bHM
comment,1OLXDMFzi_M
comment,AcwVWOibYNk
comment,xfFXq2Zr0wU
comment,IXuKM2pLGKA
comment,Ih_83RWVlFo
comment,a5egWV4XLks
comment,AcwVWOibYNk
comment,G0kv2g7o3pI
comment,nv8lb-u82KM
transcript,EsVPUpDyGec
comment,yixkHGFXRxA
comment,QqwLHdNbfrU
comment,WrL4lhXeeIE
transcript,-kCePEEBjvc
comment,xfFXq2Zr0wU
comment,V0KOZdrXqys
comment,msJZjFiuCOY
comment,a7Z9DdxPn1c
comment,F3DvKFciyCs
comment,gjokFqXlVAQ
comment,HThwk-w56JM
comment,modH2MTczcI
comment,5T3Eq6Hnask
comment,5SCb5oEVpPI
comment,NSyy5edKXoA
comment,lektccVEj_g
comment,UMp_3tufspY
comment,Q0mu8A4n5JY
comment,_RqIPbS71Zg
comment,3Abn4FPkukA
comment,Ocv6GcLqqQ8
comment,yzu0Ut4gRls
transcript,aoBcpV75TNw
comment,-i0OIy5zSrs
comment,VUOMThEICEE
comment,yxYk0BZ9274
comment,vVAhaCFc5ms
comment,kXl4Eh2LC3Y
comment,jBOyUo3JaiA
comment,3sCOQZ6llFA
comment,P-YKet5rCU0
comment,xtdNXuRrPOg
comment,r307maEg6eo
comment,IT06Sla_SaY
comment,bKZRCxVc2GQ
comment,Rzom_Kr2XjM
comment,VWOZ_xtXZZE
comment,2Gy8qOltxCg
comment,0j-AsHW38XE
comment,oXyOYenVNNI
comment,7W9aNkGG8ec
comment,phGzlrsl99A
comment,oXyOYenVNNI
comment,Rzd9MC1XWAY
comment,RmP5-D-ZKI8
comment,Y9gQTN4CmsI
comment,rHr7oz42js0
comment,n_49QZZK-WU
comment,DawClk6d8d4
comment,XgzOos7pya4
transcript,3Br4PYYjAhY
comment,r-I7U3rL01Y
comment,XJaeWIrrF0U
comment,WdJKo5UqFD0
comment,17x9ac9cXWU
comment,dW7tNhNtagQ
comment,WyngX_AqznU
comment,SPcOshF6gnY
comment,2braPpxM874
comment,e-DNgotteHM
comment,C1XqNC_gG7M
comment,Y-_Ci4IWDDc
comment,QlWw5gmUyoQ
comment,xf2TGY8WWjg
comment,vfaAqCkp4EI
comment,8osLhvGE0FM
comment,2Vk2U9DqApo
comment,dYWhqNrVqow
comment,Hxev4f3ZZq0
comment,dl7WJT3QKhQ
comment,nyfF2gG19Fc
comment,ztice10x_qA
comment,qu3fySrXLpY
comment,ai7M9THce-w
comment,xf2TGY8WWjg
comment,OkoNPrDmfhQ
comment,5w_vDgwto1s
comment,yfaL9S9Seds
comment,oFswLHzKPnA
comment,A_qNdIOc4Ic
comment,O2nQ1iaL9HI
comment,9ZdIWK4UyYc
comment,QEwLT4xuJfc
comment,QrvYcQ8Tn-o
comment,gvJnCkKYENg
comment,rNUPl8VKJek
comment,QpuVxAyfJe8
comment,w1txg_sjk5Y
comment,el2ZakIz15M
comment,gvx7V7Pcwlg
comment,IAoB42rHUIk
comment,U1st4szN77o
comment,okmpoYRnePI
transcript,HfbmnwSzv1o
comment,Fp0UKPDhA3s
comment,A6rmHKT7M88
comment,-aQw4LcE9_I
comment,JlO0Ksu0vKc
transcript,1poj9e3_gg8
transcript,JkeFncoDTCI
transcript,ljPxUUWpk8M
transcript,XfHUshOjUA0
comment,yO28Z5_Eyls
comment,XyIDxpUJ10Q
comment,3rbmvtARbjQ
comment,F03srWSfEpk
comment,-zsBZ0e1GF4
comment,fhGiCPQlSV4
comment,bwen5lsv23A
comment,VM6LGonc2Hs
transcript,UywuyLNcE7w
comment,n82qvebP4J8
comment,wcdBCanllNA
transcript,ZiUFilFbF5c
comment,TRmscLGqwI8
transcript,iJNJVRyYukI
comment,4xR2HmKsNrA
transcript,UywuyLNcE7w
comment,Kc2a3s-7G5w
comment,4xR2HmKsNrA
comment,TkQTgrPuFTg
comment,zeIZ2jroxUM
comment,bXo6gmwGvtQ
comment,FbfeiODKgRY
transcript,YIPMXqI3UBY
comment,fXALLGslD2M
comment,bzodkIsr06c
comment,9IKQtYVZC9g
comment,n3ZKngkP8g8
comment,ABx-Xb2ubws
comment,0Ysh36Dadco
comment,nBGJT3nJgz0
comment,MuFddPTEz_Q
comment,z0-4nYp8q1U
comment,kOa2azsFRfA
comment,1hsWL-fZKBw
comment,cnP9pWdMZh8
comment,wLlL46pYcg4
comment,z0-4nYp8q1U
comment,sNXccpkE98A
transcript,oT0zomhL5TY
comment,3hiJB7aMnaQ
comment,Wh0R7kxIG3E
comment,3gmTXDcFJN4
comment,4u9Y8tr4Zv0
transcript,9oFQzvPUzeU
comment,gpLoMzonCX0
transcript,T_q2TWRCWlU
transcript,tHRuYHQdc1c
comment,4tHoW8RJkOU
transcript,kt-UpHI7mmE
transcript,MJ0PBtEtD8Q
comment,0LDaL6OH_dI
comment,xt87NTAPyS4
comment,lDgw_AMBbZE
comment,pFTdiL0-vhQ
comment,7Fr_hSqK7x4
comment,OTuph9pJWU4
comment,7xCe2m0kiSg
comment,COIw9e834Ag
comment,9WM0GG27oo8
comment,7i68cD70dEE
comment,HJLNtge8jv4
comment,KD__UQbeRtk
comment,SK4uLmodN6A
comment,yrNAe7A4bRU
comment,DvM8XoGpAc4
comment,ocWWX7EDeWY
comment,gpfMjEP1IOA
comment,_aB9Tg6SRA0
comment,XobhUpv1ttg
comment,Dvhuesh0D5s
comment,2CMu4VnePhY
comment,CzfWPGDAS4g
comment,iWaXjgDEfj0
comment,zDZFcDGpL4U
comment,SK4uLmodN6A
comment,xPq1KrYWbqo
comment,v3VLDuRpq6k
comment,4XGLPTtn4xQ
transcript,4XGLPTtn4xQ
comment,rz-vqMXZuOw
comment,3kGFi1ZWVts
comment,1VBW6rdvRks
comment,yrNAe7A4bRU
comment,8iAYou8v8hA
comment,mJBlgIA3K24
comment,ocWWX7EDeWY
comment,HtbrB3xeb-Y
comment,ok1Qg4t4m3o
comment,JrBtNPnekUU
comment,Zj8Loy26Drw
comment,QTOQ3Bj09cU
comment,RVTGJqzXY-0
comment,Rr0REk_EYMs
comment,O1PnPqy1p7o
comment,QDtZlqeyf3U
comment,dJpIU1rSOFY
comment,sbTcwlAGTgg
comment,x1UpYZf_PV0
comment,QtX2_HYiIqI
comment,yAqkEeH-3MY
comment,-RUjM1_JFKg
comment,e3DDdpokhB8
comment,qr4c2bahvic
comment,DvM8XoGpAc4
comment,Gh-XKNuvvC4
comment,YimuIdEZSNY
comment,3JDWR6SXSNk
comment,O1S8WzwLPlM
comment,nV2trLD8n4o
comment,pJ9iEjByYiQ
comment,t10dkAPVcpQ
comment,YimuIdEZSNY
comment,dvf3T_0lP8Y
comment,lFiD3AUzYUk
comment,G6L5YzyyLxw
comment,GDFElxl5I1c
comment,8uDahpuiebE
comment,yHVhM-pLRXk
comment,tD5X0JNGfoI
comment,Qef9soq_nUw
transcript,HKUu4P683AY
comment,2fOWFfpLYW0
comment,-kwFw-UrX6E
comment,05dcZUK_k7I
comment,LLsqo5THFAE
comment,ppkzPJ1AcRk
comment,G7mhD5Sd9f8
comment,YwmZ6AUPU_w
comment,8NtGAMNjqJs
comment,e4VyhryO_0c
comment,MDhfKlbkzs4
comment,E490qP5TtQg
comment,yK8de22i2JU
comment,WVQB4PwyVYU
comment,ezmsrB59mj8
comment,PGPG5oH0vbE
comment,UD9CVQHUveQ
comment,TE6xptjgNR0
comment,8duNwrqZGd4
comment,J54ML_ixCn4
comment,DvM8XoGpAc4
comment,XUEI0enVhug
comment,qCQ7BcTG4yQ
comment,8x7uqLJmtrQ
comment,mAYbrYFZFRs
comment,PkiG_R2FOGA
comment,3A3NWw2Vf8E
comment,pFU--VNjxFw
comment,qTFo3bKyy5s
comment,0KW3Ef1mU-g
comment,-FS0j6BYqxM
comment,lZm4j6Ls128
comment,gmzwsMx3Rfc
comment,HOpRT8BRGtk
comment,5WtGNYQUCPM
comment,LwnnMdnuil8
comment,WoeuyW74V0k
comment,lFiD3AUzYUk
comment,xAgTEQLXjXE
comment,pJ9iEjByYiQ
comment,Xwj-Yg-Baas
comment,GMCyXSnNcto
comment,KQgHHzJoG1w
comment,f5_5tentr7Q
comment,m8Zx9vhcwP4
comment,7_PEZwwwUyM
comment,Kqou3y8htl8
comment,nR-lsNDVhcY
comment,9DKdSH_FgsU
comment,sOxbymX_SGA
comment,j_hHKF-nXYI
comment,AmCwcLTPLPY
comment,tIYs17kPhWU
comment,gTf7VFLXPys
comment,LjwpzrGisDQ
comment,1nKl30Fo1wc
comment,lw9L8Mv3uS0
comment,K-j7WPSknNc
comment,JyVSaoXt-UI
comment,qUCIXNpd--I
comment,WYeL6qGZYoo
comment,ZrBOrRHyG8c
comment,6ozLQjv2yh4
comment,lkvrZsJimQM
comment,eNCZ9a1QyQw
comment,6prvgN3_7hE
comment,R9intHqlzhc
comment,eINQdeux2yg
comment,Rd7OhXFX9EI
comment,b75lp3p0bd8
comment,-KkJW8p2hPA
comment,IqV5L66EP2E
comment,BGhTEKrI1_8
comment,2I_uO2KSA0Y
comment,dUhRePFnJjA
comment,VMr11BXbip4
comment,aLA-u6CdWzA
comment,CfsCxm_NEQc
comment,NmONjHcN6xM
comment,0gfeAlF0E3A
comment,qv0BPkUYlws
comment,Ne3XvsJUkpI
comment,rtOus4_fiSo
comment,CWKPDbLWfQw
comment,gsqnvTUmkt0
comment,7djhwx7rR4k
comment,PkujpWzHrpA
comment,sCsHkhH-OoU
comment,8RzFu9Chlkg
comment,MlJ5SDU6JNk
comment,E93iEAXvfUQ
comment,fVPNwB4YCeQ
comment,rPe4yziWiOg
comment,-s-L5gxApVs
comment,2LKFzvWNF4w
comment,p_LVOPX37SY
comment,g37nu-KnIBk
comment,AsT1xPldQ3U
comment,B_5a0j549RI
comment,o1I1fyShDR0
comment,q4qBZ9WN_2U
comment,1_OveGylYqo
comment,bq7lrCM9Rzk
comment,3fvsF6ErqJY
comment,JHSkbcFmbuo
comment,t5CjVcQJh0M
comment,T9wMikE-0o0
comment,UekbcJ8mcL0
comment,uzVG0ZD8AW0
comment,558cucnr8lA
comment,-uwiqQ7lBc0
comment,birQl42Iy9Q
comment,FlFmpukN4TM
comment,ZGQkLyeYVjA
comment,ca4ImOJjBJI
comment,dUJy4D9HL9Q
comment,a_xxkhtUonk
comment,k75gNyrDv90
comment,j2ldtNxzE38
comment,AZOytp-aLRc
comment,kqjcR115YXY
comment,qLd8mZ6lux0
comment,qJQjb2wbn-I
comment,kcJUwtyAgBU
comment,wovuXfc7Dn8
comment,9WPrPGA19Uw
comment,eDNIPlhaSJ8
comment,NxvrN4sDGlE
comment,fG5fG1MC2tM
comment,cBBkGbZKw_w
comment,cYBPrPLCbHA
comment,rIsa6s5MGk0
comment,6Cip_hJwLHQ
comment,aRcHsNmbjTE
comment,0TLm3GBB6QU
comment,cs5-AHMftd8
comment,7En_EmdGd9Y
comment,BhL1glH6GBw
comment,0Cu_gq47Mqk
transcript,czOfsVYRd3w
transcript,X4-62_sZXOs
transcript,Lk5flv3I1fI
comment,tNN8JCf4Wms
comment,bbBGuyTbMh4
comment,dfgIudZNbns
comment,6678Vlin9uo
comment,VVeGPOgJTus
comment,fZxLpsVEY5A
comment,uQozHomr0Iw
transcript,fJJ004EMxWE
comment,jTq2uqh5gQY
transcript,BZS9DETsLjc
transcript,tzne2twqASQ
comment,uQozHomr0Iw
comment,AY66um6i5NY
comment,I3Bi8P-YxZM
comment,qYx8itvSR8M
comment,r3yO9l5fPKE
comment,yB_iOnIva7g
comment,uSWsTKWhEKw
comment,qFMtSkw7h_s
comment,pVEQxZqQjy4
comment,Ruet8jBptYI
comment,q26ybMPES0g
comment,BYoqCXVkFc8
comment,8EGYH9wuS-I
comment,_I4YibSFPfI
comment,5C-nkxC4Ht4
comment,QHgRMbJQ6rs
comment,PdZd5dBY-zw
comment,Lw_bu9WChqk
comment,JmCZP8iF5Hg
comment,_D5nVir0bLY
comment,WLoPNgIp6go
comment,JlO0Ksu0vKc
comment,BkFlRIDtzUY
transcript,mGlfFjcZFRE
comment,cGM_VhNXMmo
comment,UW6H5dAPuhY
comment,X81DwUP7098
comment,AAuwK6cj6uQ
comment,NV8-zojng2M
comment,On0hnlrgVnA
comment,bt_FD-h3Gqw
comment,bVm6zOI6a3A
comment,1bChPFnxTiA
comment,rvG1G27M_UI
comment,z8WunrI7yh0
comment,yNxXsnBcIDo
comment,QbLGjeR9bvI
transcript,hfyeCMqofhA
comment,T_yu4zzHmlQ
comment,mhtaB87GTg0
comment,P2L0FmqwpFM
transcript,Ti9-a_GQLXU
comment,h0_iZx0nVr0
comment,AhFQ0YzWdfw
comment,WdVnRunTlko
comment,BSxo2LClPGI
comment,aY3PVp5L9o8
comment,EUV0E_Wn0w0
comment,_EJR4c0WO3M
comment,i0RE8UhBtS8
comment,5ZR09MJ4DyM
comment,paYAKQ166sw
comment,fg8L7a65HhE
comment,5TUViLX1uHM
comment,zCRORDI-ZLU
comment,nZdOHfQsAJE
comment,5TUViLX1uHM
comment,sHswk0ZbSwo
comment,tC1dOqaVSIc
comment,DbMblRN72HI
comment,suAj2JGAE_A
comment,IddHfOmjN34
comment,KDluMjI8ais
comment,LkRoRQAkelI
