vid,title,tag,time,duration,views,link
iGyTmRNB7l8,Fox News Hypocrites Outraged Over Biden’s Kimmel Interview & Secret Service Prank on Cousin Micki,News,3 weeks ago,12:43,"2,074,876 views",https://www.youtube.com/watch?v=iGyTmRNB7l8
6BAG3j-SFbs,News 1st: Prime Time Sinhala News - 7 PM | (28/06/2022) රාත්‍රී 7.00 ප්‍රධාන ප්‍රවෘත්ති,News,Streamed 2 days ago,36:53,"105,481 views",https://www.youtube.com/watch?v=6BAG3j-SFbs
w9xtgZFBSRk,Morning News NOW Full Broadcast - June 27,News,3 days ago,49:07,"130,922 views",https://www.youtube.com/watch?v=w9xtgZFBSRk
VUXpU_vnNYE,Nightly News Full Broadcast - June 24,News,5 days ago,21:25,"616,280 views",https://www.youtube.com/watch?v=VUXpU_vnNYE
zvA7SUNj-VQ,News 1st: Prime Time Sinhala News - 10 PM | (27/06/2022) රාත්‍රී 10.00 ප්‍රධාන ප්‍රවෘත්ති,News,Streamed 2 days ago,59:37,"77,156 views",https://www.youtube.com/watch?v=zvA7SUNj-VQ
5uCb4zJwoqo,Nightly News Full Broadcast - June 15,News,2 weeks ago,21:28,"797,891 views",https://www.youtube.com/watch?v=5uCb4zJwoqo
V3MBpPgvGFE,Dramatic Jan. 6 testimony from former White House aide l ABCNL,News,20 hours ago,4:25,"158,014 views",https://www.youtube.com/watch?v=V3MBpPgvGFE
piRdc8BQEHg,Nightly News Full Broadcast - June 21,News,8 days ago,21:06,"691,797 views",https://www.youtube.com/watch?v=piRdc8BQEHg
re41EzOWr5s,News 1st: Prime Time Sinhala News - 10 PM | (28/06/2022) රාත්‍රී 10.00 ප්‍රධාන ප්‍රවෘත්ති,News,Streamed 1 day ago,25:55,"44,252 views",https://www.youtube.com/watch?v=re41EzOWr5s
L3bqFBe7KjQ,Nightly News Full Broadcast - June 16,News,13 days ago,21:18,"664,792 views",https://www.youtube.com/watch?v=L3bqFBe7KjQ
23FLlDtBDjA,Nightly News Full Broadcast - June 20,News,9 days ago,21:17,"756,469 views",https://www.youtube.com/watch?v=23FLlDtBDjA
MjZ4dRo3gRI,Nightly News Full Broadcast - June 3,News,3 weeks ago,21:21,"636,391 views",https://www.youtube.com/watch?v=MjZ4dRo3gRI
1GS2uybciaU,January 6th Committee Holds Public Hearing On 2021 Capitol Attack | NBC News,News,Streamed 2 weeks ago,2:39:30,"1,130,593 views",https://www.youtube.com/watch?v=1GS2uybciaU
zZWvw9bF7H8,Nightly News Full Broadcast - June 17th,News,12 days ago,16:42,"769,586 views",https://www.youtube.com/watch?v=zZWvw9bF7H8
3tPIOy-dtbs,Jan. 6 Committee Hearing On 2021 Capitol Attack | NBC News,News,Streamed 8 days ago,4:30:10,"412,213 views",https://www.youtube.com/watch?v=3tPIOy-dtbs
UYxMSqq7azc,"300,000 NATO Troops On High Alert In Response To Russian Threat",News,1 day ago,6:09,"598,706 views",https://www.youtube.com/watch?v=UYxMSqq7azc
K4FmAHkMCVA,Watch: Jan. 6 Committee Hearing On 2021 Capitol Attack - June 23 | NBC News,News,Streamed 6 days ago,3:26:30,"921,428 views",https://www.youtube.com/watch?v=K4FmAHkMCVA
y6WUGah-yjU,Nightly News Full Broadcast - May 30,News,4 weeks ago,16:53,"670,244 views",https://www.youtube.com/watch?v=y6WUGah-yjU
DuYFgZjiFiQ,අද දෙරණ 12.00 මධ්‍යාහ්න පුවත් විකාශය - 2022.06.26  | Ada Derana Midday Prime  News Bulletin,News,Streamed 4 days ago,19:54,"62,720 views",https://www.youtube.com/watch?v=DuYFgZjiFiQ
aJScU58tnV8,Nightly News Full Broadcast - June 14,News,2 weeks ago,21:10,"655,850 views",https://www.youtube.com/watch?v=aJScU58tnV8
CrbkvAlohaw,මිනිස්සු කතා කරද්දි පොලිසියට යකා නගි,News,2 days ago,4:18,"162,548 views",https://www.youtube.com/watch?v=CrbkvAlohaw
R1ZdGFjmRs0,লাখো বানভাসির চোখে হতাশা! | Flood News Update | Sylhet Flood News | Somoy TV,News,1 month ago,9:48,"179,414 views",https://www.youtube.com/watch?v=R1ZdGFjmRs0
8mPyPIDcQEw,Russian missile strikes crowded shopping centre in Ukraine - BBC News,News,2 days ago,4:50,"432,058 views",https://www.youtube.com/watch?v=8mPyPIDcQEw
gjH_adtfv48,Nightly News Full Broadcast - June 8,News,3 weeks ago,21:17,"591,104 views",https://www.youtube.com/watch?v=gjH_adtfv48
79U75pPdBhE,Nightly News Full Broadcast - June 12,News,2 weeks ago,21:54,"662,450 views",https://www.youtube.com/watch?v=79U75pPdBhE
IEp0AltNCFQ,নিমিষেই শেষ সুখের সংসার | Rangpur News | Bangladesh Police | Somoy TV,News,3 weeks ago,1:31,"379,878 views",https://www.youtube.com/watch?v=IEp0AltNCFQ
a-MUqIHSK4o,BRUTAL MASSACRE - 4 Children Killed | Nation Numb | TVJ Midday News,News,8 days ago,20:28,"353,653 views",https://www.youtube.com/watch?v=a-MUqIHSK4o
8klTSyYXwvk,News 1st: Lunch Time Sinhala News | (28-06-2022 ) දහවල් ප්‍රධාන ප්‍රවෘත්ති,News,Streamed 2 days ago,24:26,"72,438 views",https://www.youtube.com/watch?v=8klTSyYXwvk
5Wv4Q7zMHMA,House Jan. 6 committee subpoenas Trump WH Counsel Pat Cipollone,News,15 hours ago,4:10,"125,884 views",https://www.youtube.com/watch?v=5Wv4Q7zMHMA
ClLezMMOlQE,News 1st: Prime Time Sinhala News - 10 PM | (26/06/2022) රාත්‍රී 10.00 ප්‍රධාන ප්‍රවෘත්ති,News,Streamed 3 days ago,42:55,"36,306 views",https://www.youtube.com/watch?v=ClLezMMOlQE
cLQlg89VIPk,This Morning’s Top Headlines – June 23 | Morning News NOW,News,7 days ago,21:53,"34,899 views",https://www.youtube.com/watch?v=cLQlg89VIPk
wYK_EK6zH_g,අද දෙරණ 6.55 ප්‍රධාන පුවත් විකාශය - 2022.06.27 | Ada Derana Prime Time News Bulletin,News,Streamed 3 days ago,30:58,"114,801 views",https://www.youtube.com/watch?v=wYK_EK6zH_g
KiokrJJSbu4,Lunch Time Sinhala News | (27-06-2022 ) දහවල් ප්‍රධාන ප්‍රවෘත්ති,News,Streamed 3 days ago,24:39,"78,208 views",https://www.youtube.com/watch?v=KiokrJJSbu4
HQf33YwfGNg,"Storage ng chlorine gas, bumagsak at sumabog! | GMA News Feed",News,2 days ago,3:34,"74,542 views",https://www.youtube.com/watch?v=HQf33YwfGNg
FJFiROx20OM,Fox News' Peter Doocy grills White House on skipping oil exec meeting,News,6 days ago,6:12,"715,672 views",https://www.youtube.com/watch?v=FJFiROx20OM
AYIrdiwL9zU,හිරු රාත්‍රී 9.55 ප්‍රධාන ප්‍රවෘත්ති ප්‍රකාශය - Hiru TV NEWS 9:55 PM Live | 2022-06-26,News,Streamed 3 days ago,34:36,"47,678 views",https://www.youtube.com/watch?v=AYIrdiwL9zU
knLUqN6XEn8,News 1st: Prime Time Sinhala News - 7 PM | (27/06/2022) රාත්‍රී 7.00 ප්‍රධාන ප්‍රවෘත්ති,News,Streamed 3 days ago,35:58,"109,198 views",https://www.youtube.com/watch?v=knLUqN6XEn8
HbNKDypgoC4,সারাদিনের সার্বিক বন্যা পরিস্থিতি: কেমন আছে সিলেটবাসী? | Sylhet Floods Update News | Flood In BD,News,12 days ago,13:43,"1,244,158 views",https://www.youtube.com/watch?v=HbNKDypgoC4
RPC1a0nrxI0,"UNTV: Why News | June 27, 2022",News,3 days ago,38:34,"122,165 views",https://www.youtube.com/watch?v=RPC1a0nrxI0
Zn1HSEwB9cU,අද දෙරණ 6.55 ප්‍රධාන පුවත් විකාශය - 2022.06.26 | Ada Derana Prime Time News Bulletin,News,Streamed 4 days ago,35:21,"130,337 views",https://www.youtube.com/watch?v=Zn1HSEwB9cU
b5wORpVMqhA,හිරු මධ්‍යාහ්න 11.55 ප්‍රධාන ප්‍රවෘත්ති ප්‍රකාශය - Hiru TV NEWS 11:55 AM Live | 2022-06-26,News,Streamed 4 days ago,26:42,"75,865 views",https://www.youtube.com/watch?v=b5wORpVMqhA
iiSgw2XbJno,News 1st: Prime Time Sinhala News - 10 PM | (25/06/2022) රාත්‍රී 10.00 ප්‍රධාන ප්‍රවෘත්ති,News,Streamed 4 days ago,36:25,"61,867 views",https://www.youtube.com/watch?v=iiSgw2XbJno
8EIZNFFf4ys,News 1st: Prime Time Sinhala News - 7 PM | (24/06/2022) රාත්‍රී 7.00 ප්‍රධාන ප්‍රවෘත්ති,News,Streamed 6 days ago,37:31,"84,873 views",https://www.youtube.com/watch?v=8EIZNFFf4ys
BwcVm0YRvuo,Google engineer warns new AI robot has feelings,News,7 days ago,5:08,"1,285,825 views",https://www.youtube.com/watch?v=BwcVm0YRvuo
Q48fmgNIynQ,বন্যা পরিস্থিতি কেন এতো ভয়াবহ হলো? | Somoy News Analysis | Flood In Bangladesh | Somoy TV,News,12 days ago,14:06,"185,373 views",https://www.youtube.com/watch?v=Q48fmgNIynQ
o0wByk-hdC4,NEWS - 未来へ [Official Music Clip],News,8 months ago,2:45,"4,401,201 views",https://www.youtube.com/watch?v=o0wByk-hdC4
X6GzZW9PWdo,News 1st: Prime Time Sinhala News - 7 PM | (26/06/2022) රාත්‍රී 7.00 ප්‍රධාන ප්‍රවෘත්ති,News,Streamed 4 days ago,31:00,"111,146 views",https://www.youtube.com/watch?v=X6GzZW9PWdo
wvhsCxeldU0,Редакция. News: 17-я неделя,News,11 days ago,39:51,"2,968,085 views",https://www.youtube.com/watch?v=wvhsCxeldU0
R3UhvMN0xfs,News 1st: Prime Time Sinhala News - 10 PM | (24/06/2022) රාත්‍රී 10.00 ප්‍රධාන ප්‍රවෘත්ති,News,Streamed 5 days ago,39:15,"50,781 views",https://www.youtube.com/watch?v=R3UhvMN0xfs
GTGy7DoE6sc,চট্টগ্রাম মেডিকেলে উৎসুক জনতাকে সরাতে সেনাবাহিনী | Bangladesh Army | CMC | Chattogram News| Somoy TV,News,3 weeks ago,2:43,"741,732 views",https://www.youtube.com/watch?v=GTGy7DoE6sc
3-GVwKTaZRM,Top Story with Tom Llamas - June 20 | NBC News NOW,News,9 days ago,50:39,"391,016 views",https://www.youtube.com/watch?v=3-GVwKTaZRM
2rkoe4XfoPI,গাজীপুরে ৯৪ নতুন কনস্টেবল | Gazipur News | Tea Seller Become Police | Bangladesh Police | Somoy TV,News,2 months ago,3:14,"4,174,064 views",https://www.youtube.com/watch?v=2rkoe4XfoPI
ywha1PJnJO4,"মৃত বাছিরন ফিরে এসেছে, গুজব ঘিরে চাঞ্চল্য গাইবান্ধায়! | Gaibandha News | Somoy TV",News,1 month ago,3:32,"4,947,841 views",https://www.youtube.com/watch?v=ywha1PJnJO4
yAmp9OedQYY,তরতাজা সন্তানকে মুহূর্তেই হারিয়ে দিশেহারা মা | Buriganga Eco Park News | Shyampur | Dhaka | Somoy TV,News,1 month ago,2:05,"3,343,994 views",https://www.youtube.com/watch?v=yAmp9OedQYY
cboWaUdLzGw,NEWS - ReBorn [Official Music Clip],News,8 months ago,2:27,"1,723,042 views",https://www.youtube.com/watch?v=cboWaUdLzGw
5pchMFN14dY,Michio Kaku: The entire universe will be aware of this one explosion,News,2 weeks ago,3:17,"1,723,393 views",https://www.youtube.com/watch?v=5pchMFN14dY
Uzj1_kb3tck,Hallie Jackson NOW - June 15 | NBC News NOW,News,2 weeks ago,52:35,"146,356 views",https://www.youtube.com/watch?v=Uzj1_kb3tck
ek4OdX7SMcM,Former WH aide gives bombshell testimony about Trump’s actions on Jan. 6 l GMA,News,1 day ago,6:16,"64,124 views",https://www.youtube.com/watch?v=ek4OdX7SMcM
xM5h16mA4WM,"Latest results from AL, GA, VA primaries",News,8 days ago,4:07,"785,605 views",https://www.youtube.com/watch?v=xM5h16mA4WM
WS1JdZyccNo,News 1st: Prime Time Sinhala News - 7 PM | (20/06/2022) රාත්‍රී 7.00 ප්‍රධාන ප්‍රවෘත්ති,News,Streamed 10 days ago,36:21,"103,279 views",https://www.youtube.com/watch?v=WS1JdZyccNo
0qmj32xf3iw,News 1st: Prime Time Sinhala News - 7 PM | (25/06/2022) රාත්‍රී 7.00 ප්‍රධාන ප්‍රවෘත්ති,News,Streamed 5 days ago,31:40,"91,852 views",https://www.youtube.com/watch?v=0qmj32xf3iw
i4VYvP8X1IY,This is coming right from the president’s mouth: Josh Boswell,News,2 days ago,2:25,"832,340 views",https://www.youtube.com/watch?v=i4VYvP8X1IY
oydHh_fIdo0,News 1st: Prime Time Sinhala News - 7 PM | (22/06/2022) රාත්‍රී 7.00 ප්‍රධාන ප්‍රවෘත්ති,News,Streamed 8 days ago,38:06,"98,430 views",https://www.youtube.com/watch?v=oydHh_fIdo0
Y7BFkCa7aZk,NEWS - LOSER [Official Music Video],News,1 month ago,2:27,"997,477 views",https://www.youtube.com/watch?v=Y7BFkCa7aZk
0g_pvsACqMo,News 1st: Prime Time Sinhala News - 7 PM | (23/06/2022) රාත්‍රී 7.00 ප්‍රධාන ප්‍රවෘත්ති,News,Streamed 7 days ago,36:40,"96,390 views",https://www.youtube.com/watch?v=0g_pvsACqMo
RAiQNQCISbA,Uddhav Thackeray LIVE |Maharashtra Govt Crisis |Shiv Sena | Eknath Shinde | Breaking News |Times Now,News,Streamed 7 days ago,6:23:38,"220,224 views",https://www.youtube.com/watch?v=RAiQNQCISbA
LcOLH14m3pU,PMQs in full: Deputy Prime Minister Dominic Raab faces Labour's deputy leader Angela Rayner,News,Streamed 1 day ago,39:36,"28,639 views",https://www.youtube.com/watch?v=LcOLH14m3pU
JvyS7aUZbMc,চট্টগ্রামের সীতাকুণ্ডে কন্টেইনার ডিপোতে ভয়াবহ বিস্ফোরণ! | Sitakundu News | Chattogram |Explosion,News,3 weeks ago,3:12,"5,483,790 views",https://www.youtube.com/watch?v=JvyS7aUZbMc
GUzdjDwRTgk,NEWS - 三銃士 [Official Music Video],News,1 month ago,2:42,"1,336,517 views",https://www.youtube.com/watch?v=GUzdjDwRTgk
zKgrrRU_UgI,ভাসছে সিলেট | Sylhet Floods Update News | Flood In Bangladesh | Sylhet Before And After | Somoy TV,News,11 days ago,10:01,"133,018 views",https://www.youtube.com/watch?v=zKgrrRU_UgI
AvRRao44GXo,"Survivors, lawyers speak after R. Kelly sentencing | full video",News,Streamed 20 hours ago,13:25,"59,551 views",https://www.youtube.com/watch?v=AvRRao44GXo
FejkVo5EQrU,News 1st: Lunch Time Sinhala News |(23-06-2022 ) දහවල් ප්‍රධාන ප්‍රවෘත්ති,News,Streamed 7 days ago,29:16,"61,411 views",https://www.youtube.com/watch?v=FejkVo5EQrU
UquDy5rQCnc,"Jeff Pegues reacts to Cassidy Hutchinson’s testimony, Liz Cheney’s closing statement",News,1 day ago,19:17,"127,942 views",https://www.youtube.com/watch?v=UquDy5rQCnc
uhgSMg0tpN0,Guyana News Source 22nd June 2022,News,7 days ago,31:30,"18,189 views",https://www.youtube.com/watch?v=uhgSMg0tpN0
zEVgLk7nDDs,Jamaica News Today June 27 2022/JBNN,News,2 days ago,11:33,"18,754 views",https://www.youtube.com/watch?v=zEVgLk7nDDs
_LeJATysrNY,"46 found dead in tractor-trailer in San Antonio, Texas | Nightline",News,2 days ago,1:24,"140,084 views",https://www.youtube.com/watch?v=_LeJATysrNY
VF4YM5Dw33s,G7 summit: Is western influence waning in a multipolar world? | DW News,News,3 days ago,9:50,"88,034 views",https://www.youtube.com/watch?v=VF4YM5Dw33s
xmUU1IA9FUQ,Siyatha News | 06.00 AM | 24 - 06 - 2022,News,6 days ago,24:04,"12,634 views",https://www.youtube.com/watch?v=xmUU1IA9FUQ
DPgOkYh4JTg,I was on the News because of this..,News,1 month ago,8:54,"2,235,257 views",https://www.youtube.com/watch?v=DPgOkYh4JTg
