vid,title,tag,time,duration_min,views,link,view_10k
BFTKzlXFeAk,Trump Insider Raided! Coup Plotter Has Phone Seized In ‘Bad News’ For MAGA-World,News,2 days ago,4.333333333333333,"803,171 views",https://www.youtube.com/watch?v=BFTKzlXFeAk,80.3171
CTzSKBGqmYg,R. Kelly sentenced to 30 years in prison | ABCNL,News,16 hours ago,14.883333333333333,"46,282 views",https://www.youtube.com/watch?v=CTzSKBGqmYg,4.6282
Bv-56hHYWAg,"Ukraine war: G7 leaders meet in Berlin, as rockets strike Kyiv",News,3 days ago,2.55,"113,791 views",https://www.youtube.com/watch?v=Bv-56hHYWAg,11.3791
5Jg9VfMTzpc,"Trump Fought Secret Service to Join Capitol Rioters, White House Aide Testifies",News,1 day ago,3.25,"116,601 views",https://www.youtube.com/watch?v=5Jg9VfMTzpc,11.6601
9mElopuX6JM,Why are the biggest national rail strikes in 30 years happening in the UK? - BBC News,News,9 days ago,6.483333333333333,"156,710 views",https://www.youtube.com/watch?v=9mElopuX6JM,15.671
ocZPw3rVYUU,Live: G7 leaders joint press conference (1/2) | DW News,News,Streamed 4 days ago,11.683333333333334,"35,298 views",https://www.youtube.com/watch?v=ocZPw3rVYUU,3.5298
ygP7zHrqzbI,Russia-Ukraine war exposes EU's Russian gas dependency | World News | English News | WION,News,5 days ago,4.033333333333333,"277,760 views",https://www.youtube.com/watch?v=ygP7zHrqzbI,27.776
PHOqj8L1t50,Half Russian separatist force in Ukraine 'dead or wounded' - BBC News,News,8 days ago,2.716666666666667,"1,161,570 views",https://www.youtube.com/watch?v=PHOqj8L1t50,116.157
CYMO1aDt0sA,Hundreds of thousands evacuated as floods ravage southern China - BBC News,News,7 days ago,2.2,"288,672 views",https://www.youtube.com/watch?v=CYMO1aDt0sA,28.8672
yDAtjQ-8Ygo,Should German nuclear power plants run longer? | DW News,News,6 days ago,5.5,"110,081 views",https://www.youtube.com/watch?v=yDAtjQ-8Ygo,11.0081
A2EfbC38LG8,Officials investigating if 18-wheeler with dead migrants inside was 'cloned' by human smugglers,News,16 hours ago,2.1166666666666667,"44,427 views",https://www.youtube.com/watch?v=A2EfbC38LG8,4.4427
jS-7sosjfvY,"Oath-taking of Ferdinand “Bongbong” Marcos Jr. as 17th President of the Philippines | June 30, 2022",News,11 hours ago,7.3,"319,041 views",https://www.youtube.com/watch?v=jS-7sosjfvY,31.9041
HVAXndf_FZQ,Georgia Mother Stabs Three Children To Death In Burning Home,News,2 days ago,1.9666666666666666,"17,631 views",https://www.youtube.com/watch?v=HVAXndf_FZQ,1.7631
3ZtV0HsYzmg,Russia tells BBC “we did not invade Ukraine” and there is “no war” there - BBC News,News,13 days ago,4.3,"1,803,287 views",https://www.youtube.com/watch?v=3ZtV0HsYzmg,180.3287
roppVDDUJgo,Trains set on fire in India military hiring protests - BBC News,News,12 days ago,2.3833333333333333,"459,682 views",https://www.youtube.com/watch?v=roppVDDUJgo,45.9682
rG3vSGOdhDo,Special Report: List of Key Changes to Come Into Effect Under New Labour Laws From July 1,News,4 days ago,3.15,"922,716 views",https://www.youtube.com/watch?v=rG3vSGOdhDo,92.2716
iUcJAmaWATU,Nightly News Full Broadcast - June 27,News,2 days ago,19.566666666666666,"592,604 views",https://www.youtube.com/watch?v=iUcJAmaWATU,59.2604
o_7DB7XvK9o,Piers Morgan: This is shameful,News,3 days ago,5.883333333333334,"192,368 views",https://www.youtube.com/watch?v=o_7DB7XvK9o,19.2368
XKe1qrQ5NtA,Google engineer says chatbot AI become sentient being - BBC News,News,2 weeks ago,3.0,"539,508 views",https://www.youtube.com/watch?v=XKe1qrQ5NtA,53.9508
GedaqUzMjCI,"Pro-abortion protesters trap Arizona lawmakers in Capitol, as pregnancy centers attacked",News,2 days ago,12.083333333333334,"1,009,793 views",https://www.youtube.com/watch?v=GedaqUzMjCI,100.9793
Q5fohZyzMIg,US: China and Russia's 'no-limit' partnership is concerning | World News | WION Fineprint,News,5 days ago,5.85,"146,226 views",https://www.youtube.com/watch?v=Q5fohZyzMIg,14.6226
0B-mCcvKlNA,Defiant Russia replaces McDonald's with “Tasty” burger chain - BBC News,News,2 weeks ago,3.033333333333333,"530,608 views",https://www.youtube.com/watch?v=0B-mCcvKlNA,53.0608
54mpqppLr5I,Transgender swimmers banned from elite women’s races - BBC News,News,10 days ago,2.35,"279,325 views",https://www.youtube.com/watch?v=54mpqppLr5I,27.9325
0JbB5I7I__M,"Female abortion advocates are going on a sex strike, will it work?",News,6 hours ago,6.3,"138,470 views",https://www.youtube.com/watch?v=0JbB5I7I__M,13.847
6BaVxigauek,Lithuania Blockades Kaliningrad: What happens now? - TLDR News,News,8 days ago,8.3,"1,114,491 views",https://www.youtube.com/watch?v=6BaVxigauek,111.4491
BxCXrvidmSw,"Two cornered, shot dead inside  Hickory Hill gas station",News,5 days ago,2.2,"697,753 views",https://www.youtube.com/watch?v=BxCXrvidmSw,69.7753
crzh8JTkQs4,Ethiopia: a border town ravaged by the Tigray conflict | DW News,News,9 days ago,7.25,"41,660 views",https://www.youtube.com/watch?v=crzh8JTkQs4,4.166
EHXvGiK18kM,NCT NEWS | 쿤 태일 양양 함께 'NCT LAB' 준비 중… (22.06.22) | THE NCT SHOW,News,8 days ago,17.133333333333333,"520,873 views",https://www.youtube.com/watch?v=EHXvGiK18kM,52.0873
iGyTmRNB7l8,Fox News Hypocrites Outraged Over Biden’s Kimmel Interview & Secret Service Prank on Cousin Micki,News,3 weeks ago,12.716666666666667,"2,074,876 views",https://www.youtube.com/watch?v=iGyTmRNB7l8,207.4876
V3MBpPgvGFE,Dramatic Jan. 6 testimony from former White House aide l ABCNL,News,20 hours ago,4.416666666666667,"158,014 views",https://www.youtube.com/watch?v=V3MBpPgvGFE,15.8014
zZWvw9bF7H8,Nightly News Full Broadcast - June 17th,News,12 days ago,16.7,"769,586 views",https://www.youtube.com/watch?v=zZWvw9bF7H8,76.9586
UYxMSqq7azc,"300,000 NATO Troops On High Alert In Response To Russian Threat",News,1 day ago,6.15,"598,706 views",https://www.youtube.com/watch?v=UYxMSqq7azc,59.8706
y6WUGah-yjU,Nightly News Full Broadcast - May 30,News,4 weeks ago,16.883333333333333,"670,244 views",https://www.youtube.com/watch?v=y6WUGah-yjU,67.0244
DuYFgZjiFiQ,අද දෙරණ 12.00 මධ්‍යාහ්න පුවත් විකාශය - 2022.06.26  | Ada Derana Midday Prime  News Bulletin,News,Streamed 4 days ago,19.9,"62,720 views",https://www.youtube.com/watch?v=DuYFgZjiFiQ,6.272
CrbkvAlohaw,මිනිස්සු කතා කරද්දි පොලිසියට යකා නගි,News,2 days ago,4.3,"162,548 views",https://www.youtube.com/watch?v=CrbkvAlohaw,16.2548
R1ZdGFjmRs0,লাখো বানভাসির চোখে হতাশা! | Flood News Update | Sylhet Flood News | Somoy TV,News,1 month ago,9.8,"179,414 views",https://www.youtube.com/watch?v=R1ZdGFjmRs0,17.9414
8mPyPIDcQEw,Russian missile strikes crowded shopping centre in Ukraine - BBC News,News,2 days ago,4.833333333333333,"432,058 views",https://www.youtube.com/watch?v=8mPyPIDcQEw,43.2058
IEp0AltNCFQ,নিমিষেই শেষ সুখের সংসার | Rangpur News | Bangladesh Police | Somoy TV,News,3 weeks ago,1.5166666666666666,"379,878 views",https://www.youtube.com/watch?v=IEp0AltNCFQ,37.9878
5Wv4Q7zMHMA,House Jan. 6 committee subpoenas Trump WH Counsel Pat Cipollone,News,15 hours ago,4.166666666666667,"125,884 views",https://www.youtube.com/watch?v=5Wv4Q7zMHMA,12.5884
HQf33YwfGNg,"Storage ng chlorine gas, bumagsak at sumabog! | GMA News Feed",News,2 days ago,3.566666666666667,"74,542 views",https://www.youtube.com/watch?v=HQf33YwfGNg,7.4542
FJFiROx20OM,Fox News' Peter Doocy grills White House on skipping oil exec meeting,News,6 days ago,6.2,"715,672 views",https://www.youtube.com/watch?v=FJFiROx20OM,71.5672
HbNKDypgoC4,সারাদিনের সার্বিক বন্যা পরিস্থিতি: কেমন আছে সিলেটবাসী? | Sylhet Floods Update News | Flood In BD,News,12 days ago,13.716666666666667,"1,244,158 views",https://www.youtube.com/watch?v=HbNKDypgoC4,124.4158
BwcVm0YRvuo,Google engineer warns new AI robot has feelings,News,7 days ago,5.133333333333334,"1,285,825 views",https://www.youtube.com/watch?v=BwcVm0YRvuo,128.5825
Q48fmgNIynQ,বন্যা পরিস্থিতি কেন এতো ভয়াবহ হলো? | Somoy News Analysis | Flood In Bangladesh | Somoy TV,News,12 days ago,14.1,"185,373 views",https://www.youtube.com/watch?v=Q48fmgNIynQ,18.5373
o0wByk-hdC4,NEWS - 未来へ [Official Music Clip],News,8 months ago,2.75,"4,401,201 views",https://www.youtube.com/watch?v=o0wByk-hdC4,440.1201
GTGy7DoE6sc,চট্টগ্রাম মেডিকেলে উৎসুক জনতাকে সরাতে সেনাবাহিনী | Bangladesh Army | CMC | Chattogram News| Somoy TV,News,3 weeks ago,2.716666666666667,"741,732 views",https://www.youtube.com/watch?v=GTGy7DoE6sc,74.1732
2rkoe4XfoPI,গাজীপুরে ৯৪ নতুন কনস্টেবল | Gazipur News | Tea Seller Become Police | Bangladesh Police | Somoy TV,News,2 months ago,3.2333333333333334,"4,174,064 views",https://www.youtube.com/watch?v=2rkoe4XfoPI,417.4064
ywha1PJnJO4,"মৃত বাছিরন ফিরে এসেছে, গুজব ঘিরে চাঞ্চল্য গাইবান্ধায়! | Gaibandha News | Somoy TV",News,1 month ago,3.533333333333333,"4,947,841 views",https://www.youtube.com/watch?v=ywha1PJnJO4,494.7841
yAmp9OedQYY,তরতাজা সন্তানকে মুহূর্তেই হারিয়ে দিশেহারা মা | Buriganga Eco Park News | Shyampur | Dhaka | Somoy TV,News,1 month ago,2.0833333333333335,"3,343,994 views",https://www.youtube.com/watch?v=yAmp9OedQYY,334.3994
cboWaUdLzGw,NEWS - ReBorn [Official Music Clip],News,8 months ago,2.45,"1,723,042 views",https://www.youtube.com/watch?v=cboWaUdLzGw,172.3042
5pchMFN14dY,Michio Kaku: The entire universe will be aware of this one explosion,News,2 weeks ago,3.283333333333333,"1,723,393 views",https://www.youtube.com/watch?v=5pchMFN14dY,172.3393
ek4OdX7SMcM,Former WH aide gives bombshell testimony about Trump’s actions on Jan. 6 l GMA,News,1 day ago,6.266666666666667,"64,124 views",https://www.youtube.com/watch?v=ek4OdX7SMcM,6.4124
xM5h16mA4WM,"Latest results from AL, GA, VA primaries",News,8 days ago,4.116666666666666,"785,605 views",https://www.youtube.com/watch?v=xM5h16mA4WM,78.5605
i4VYvP8X1IY,This is coming right from the president’s mouth: Josh Boswell,News,2 days ago,2.4166666666666665,"832,340 views",https://www.youtube.com/watch?v=i4VYvP8X1IY,83.234
Y7BFkCa7aZk,NEWS - LOSER [Official Music Video],News,1 month ago,2.45,"997,477 views",https://www.youtube.com/watch?v=Y7BFkCa7aZk,99.7477
JvyS7aUZbMc,চট্টগ্রামের সীতাকুণ্ডে কন্টেইনার ডিপোতে ভয়াবহ বিস্ফোরণ! | Sitakundu News | Chattogram |Explosion,News,3 weeks ago,3.2,"5,483,790 views",https://www.youtube.com/watch?v=JvyS7aUZbMc,548.379
GUzdjDwRTgk,NEWS - 三銃士 [Official Music Video],News,1 month ago,2.7,"1,336,517 views",https://www.youtube.com/watch?v=GUzdjDwRTgk,133.6517
zKgrrRU_UgI,ভাসছে সিলেট | Sylhet Floods Update News | Flood In Bangladesh | Sylhet Before And After | Somoy TV,News,11 days ago,10.016666666666667,"133,018 views",https://www.youtube.com/watch?v=zKgrrRU_UgI,13.3018
AvRRao44GXo,"Survivors, lawyers speak after R. Kelly sentencing | full video",News,Streamed 20 hours ago,13.416666666666666,"59,551 views",https://www.youtube.com/watch?v=AvRRao44GXo,5.9551
UquDy5rQCnc,"Jeff Pegues reacts to Cassidy Hutchinson’s testimony, Liz Cheney’s closing statement",News,1 day ago,19.283333333333335,"127,942 views",https://www.youtube.com/watch?v=UquDy5rQCnc,12.7942
zEVgLk7nDDs,Jamaica News Today June 27 2022/JBNN,News,2 days ago,11.55,"18,754 views",https://www.youtube.com/watch?v=zEVgLk7nDDs,1.8754
_LeJATysrNY,"46 found dead in tractor-trailer in San Antonio, Texas | Nightline",News,2 days ago,1.4,"140,084 views",https://www.youtube.com/watch?v=_LeJATysrNY,14.0084
VF4YM5Dw33s,G7 summit: Is western influence waning in a multipolar world? | DW News,News,3 days ago,9.833333333333334,"88,034 views",https://www.youtube.com/watch?v=VF4YM5Dw33s,8.8034
DPgOkYh4JTg,I was on the News because of this..,News,1 month ago,8.9,"2,235,257 views",https://www.youtube.com/watch?v=DPgOkYh4JTg,223.5257
eBQ4YjoUxnA,இன்றைய தலைப்புச் செய்திகள் 26.06.2022 | Samugam Media News,News,4 days ago,7.883333333333334,"33,239 views",https://www.youtube.com/watch?v=eBQ4YjoUxnA,3.3239
b0g5BN15e58,गायिका दिल मायाको आमाले खोलिन घटनाको डर लाग्दो रहस्य | Dil Maya bishowkarma News | Sujal GM,News,4 days ago,15.783333333333333,"293,750 views",https://www.youtube.com/watch?v=b0g5BN15e58,29.375
D45kcWgVJ7s,President Biden commits to stronger US military presence in Eastern Europe l ABCNL,News,1 day ago,4.666666666666667,"50,252 views",https://www.youtube.com/watch?v=D45kcWgVJ7s,5.0252
DiiZDLoWSYI,Jamaica News Today June 26 2022/JBNN,News,3 days ago,11.8,"19,379 views",https://www.youtube.com/watch?v=DiiZDLoWSYI,1.9379
TOaqMJpBeoo,Trump’s Defense Sec. Warns Public Not to Vote for Him Again,News,3 days ago,10.3,"263,892 views",https://www.youtube.com/watch?v=TOaqMJpBeoo,26.3892
ZpUEFhPIALk,Jamaica News Today June 24 2022/JBNN,News,5 days ago,12.016666666666667,"20,679 views",https://www.youtube.com/watch?v=ZpUEFhPIALk,2.0679
Y82w9TUP8zE,NATO announces record 'high-readiness' troop expansion,News,2 days ago,2.183333333333333,"149,361 views",https://www.youtube.com/watch?v=Y82w9TUP8zE,14.9361
nkGaNNj_nug,Russia warns Lithuania of consequences over rail transit sanctions – BBC News,News,7 days ago,3.4166666666666665,"900,006 views",https://www.youtube.com/watch?v=nkGaNNj_nug,90.0006
znrNrfv__D4,How Thailand went from war on drugs to cannabis curries - BBC News,News,5 days ago,3.8,"147,042 views",https://www.youtube.com/watch?v=znrNrfv__D4,14.7042
_6akkGVr2zs,20 TIMES SPORTS FANS TOOK IT WAY TOO FAR,Sport,1 year ago,8.05,"7,706,064 views",https://www.youtube.com/watch?v=_6akkGVr2zs,770.6064
AbnjSelQYV8,High IQ Moments in Sports,Sport,10 months ago,6.333333333333333,"10,845,020 views",https://www.youtube.com/watch?v=AbnjSelQYV8,1084.502
v3m_DlYSJOA,Greatest World Records in Sport History,Sport,1 year ago,9.633333333333333,"30,291,777 views",https://www.youtube.com/watch?v=v3m_DlYSJOA,3029.1777
jzJW0gTYB9k,Impossible Sports Moments,Sport,4 months ago,7.866666666666666,"1,654,680 views",https://www.youtube.com/watch?v=jzJW0gTYB9k,165.468
MRdkdIfkBJ8,Most Embarrassing Moments in Sports - Funniest Moments in Sports History,Sport,1 month ago,8.516666666666667,"2,107,227 views",https://www.youtube.com/watch?v=MRdkdIfkBJ8,210.7227
yG7v4y_xwzQ,Sport psychology - inside the mind of champion athletes: Martin Hagger at TEDxPerth,Sport,9 years ago,12.033333333333333,"1,704,574 views",https://www.youtube.com/watch?v=yG7v4y_xwzQ,170.4574
DHlkWwlujS0,100% Creative Sports Moments,Sport,4 months ago,8.066666666666666,"6,943,784 views",https://www.youtube.com/watch?v=DHlkWwlujS0,694.3784
Bke6lW_q88Q,20 EMBARRASSING AND FUNNIEST MOMENTS IN SPORTS,Sport,8 months ago,9.4,"2,620,447 views",https://www.youtube.com/watch?v=Bke6lW_q88Q,262.0447
bIDKhZ_4jLQ,All Sports Trick Shots | Dude Perfect,Sport,2 years ago,6.8,"27,809,674 views",https://www.youtube.com/watch?v=bIDKhZ_4jLQ,2780.9674
AmgIzj7SUb8,The BEST Goals of the 2021/22 Premier League Season! | Part Two,Sport,4 weeks ago,5.05,"646,335 views",https://www.youtube.com/watch?v=AmgIzj7SUb8,64.6335
1_r0mhnxGN0,20 MUST SEE SPORTS MOMENTS,Sport,2 years ago,5.1,"11,616,915 views",https://www.youtube.com/watch?v=1_r0mhnxGN0,1161.6915
SnWuiAxgNx4,Christian Eriksen choosing between Manchester United and Brentford,Sport,6 days ago,5.866666666666666,"404,717 views",https://www.youtube.com/watch?v=SnWuiAxgNx4,40.4717
YDsiJtlofxs,Suzuki Swift Sport review - a budget Toyota GR Yaris?,Sport,1 year ago,12.983333333333333,"1,364,757 views",https://www.youtube.com/watch?v=YDsiJtlofxs,136.4757
mUUSUh3IWDU,Transfer Update: Man United edging closer to Frenkie de Jong deal 🤝,Sport,2 days ago,5.883333333333334,"194,063 views",https://www.youtube.com/watch?v=mUUSUh3IWDU,19.4063
mrkSJDigMs8,12 Étirements Que tu Peux Faire à La Maison Pour Brûler Les Graisses,Sport,4 years ago,14.316666666666666,"4,595,019 views",https://www.youtube.com/watch?v=mrkSJDigMs8,459.5019
dW8J7_l8INY,Craziest “Saving Lives” Moments in Sports History,Sport,2 years ago,5.55,"88,932,968 views",https://www.youtube.com/watch?v=dW8J7_l8INY,8893.2968
Mk1OkAdbFhg,Should Manchester United fans be concerned by a lack of transfer activity? | Transfer Talk,Sport,9 days ago,6.0,"450,584 views",https://www.youtube.com/watch?v=Mk1OkAdbFhg,45.0584
uIppJ6n6FD0,The Olympics NEEDS This Sport!!,Sport,1 month ago,0.8666666666666667,"113,021,099 views",https://www.youtube.com/watch?v=uIppJ6n6FD0,11302.1099
Y4id5tlTYsY,Try Not To Laugh At These Funny Moments in Sports...,Sport,1 year ago,8.366666666666667,"8,809,884 views",https://www.youtube.com/watch?v=Y4id5tlTYsY,880.9884
v-2wt9lf2D4,Cristiano Ronaldo not for sale despite reports of Chelsea move | Frenkie de Jong deal moving closer,Sport,4 days ago,4.616666666666666,"375,053 views",https://www.youtube.com/watch?v=v-2wt9lf2D4,37.5053
InqSDgjlF30,25 MUST SEE MOMENTS IN SPORTS 🔥😘,Sport,3 months ago,7.866666666666666,"3,573,610 views",https://www.youtube.com/watch?v=InqSDgjlF30,357.361
zFefxO4UhRw,Will Man Utd build a new stadium? | BBC Sport,Sport,1 month ago,6.333333333333333,"413,733 views",https://www.youtube.com/watch?v=zFefxO4UhRw,41.3733
HMJmp_tr89g,"The latest football transfers; Raheem Sterling out, Anthony Gordon to stay at Everton?",Sport,2 days ago,2.75,"248,132 views",https://www.youtube.com/watch?v=HMJmp_tr89g,24.8132
eiFmB3psH0I,NEW Range Rover Sport walkaround: more luxurious than ever!,Sport,1 month ago,11.0,"326,382 views",https://www.youtube.com/watch?v=eiFmB3psH0I,32.6382
Lv-XcVFBwVY,Introducing: New Range Rover Sport,Sport,1 month ago,16.666666666666668,"2,750,712 views",https://www.youtube.com/watch?v=Lv-XcVFBwVY,275.0712
LSFX9vrwJf8,Bugatti Super Sport Speed Test | Top Gear | BBC,Sport,11 years ago,8.083333333333334,"18,058,676 views",https://www.youtube.com/watch?v=LSFX9vrwJf8,1805.8676
A5VDHd4Imjk,1 IN A MILLION MOMENTS IN WOMEN'S SPORTS,Sport,6 months ago,6.966666666666667,"3,884,989 views",https://www.youtube.com/watch?v=A5VDHd4Imjk,388.4989
2m1Ff4k8Vic,The Sport of Cigar Smoking,Sport,4 years ago,2.283333333333333,"3,875,159 views",https://www.youtube.com/watch?v=2m1Ff4k8Vic,387.5159
g9G44Az00l0,Who's The GOAT In Every Major Sport?,Sport,2 years ago,11.066666666666666,"2,778,404 views",https://www.youtube.com/watch?v=g9G44Az00l0,277.8404
luR70V5gdS0,All Sports Golf Battle 4,Sport,2 years ago,13.783333333333333,"38,119,682 views",https://www.youtube.com/watch?v=luR70V5gdS0,3811.9682
gWL-r72tGOE,Range Rover Sport Review: Mud and Track | Top Gear | Series 20 | BBC,Sport,8 years ago,7.933333333333334,"15,531,936 views",https://www.youtube.com/watch?v=gWL-r72tGOE,1553.1936
1EA747FL5KQ,The latest on Tottenham Hotspur's potential incomings and outgoings this transfer window,Sport,8 days ago,4.583333333333333,"220,996 views",https://www.youtube.com/watch?v=1EA747FL5KQ,22.0996
-RmUADCWI4A,All Sports Golf Battle 2 | Dude Perfect,Sport,4 years ago,11.683333333333334,"104,685,048 views",https://www.youtube.com/watch?v=-RmUADCWI4A,10468.5048
J2x-dwASHns,Highlights - Liverpool beat Chelsea on penalties to win FA Cup | BBC Sport,Sport,1 month ago,5.283333333333333,"435,103 views",https://www.youtube.com/watch?v=J2x-dwASHns,43.5103
6pQoUk4VOx4,Range Rover Sport v Bentley Bentayga - which is best?,Sport,8 months ago,19.0,"1,341,002 views",https://www.youtube.com/watch?v=6pQoUk4VOx4,134.1002
EK0uD4bDWTw,Nintendo Switch Sports Review,Sport,2 months ago,7.016666666666667,"612,707 views",https://www.youtube.com/watch?v=EK0uD4bDWTw,61.2707
D9DZmoRY0H4,The Science Behind Competitive Eating | Sport Science | ESPN Archives,Sport,5 years ago,2.4166666666666665,"3,286,022 views",https://www.youtube.com/watch?v=D9DZmoRY0H4,328.6022
4UXyPKCM7uI,Liverpool agree £35.1m deal to sell Sadio Mane to Bayern Munich 🤝,Sport,13 days ago,3.7,"189,629 views",https://www.youtube.com/watch?v=4UXyPKCM7uI,18.9629
5s4_cX3To8Y,Jurgen Klopp calls Sadio Mane a modern-day Liverpool icon as striker completes move to Bayern Munich,Sport,7 days ago,10.933333333333334,"310,896 views",https://www.youtube.com/watch?v=5s4_cX3To8Y,31.0896
jQO-OrjpybQ,Bill Burr's Sports Rants | CONAN on TBS,Sport,1 year ago,10.7,"3,287,835 views",https://www.youtube.com/watch?v=jQO-OrjpybQ,328.7835
sdXe4ABdkOg,NEW 2022 Toyota C-HR GR Sport in-depth review  | What Car?,Sport,1 year ago,13.733333333333333,"318,978 views",https://www.youtube.com/watch?v=sdXe4ABdkOg,31.8978
Rwk5PdpTxSU,adidas | Ready for Sport,Sport,2 years ago,1.25,"53,829,613 views",https://www.youtube.com/watch?v=Rwk5PdpTxSU,5382.9613
TZ16-1YIRAc,Nintendo Switch Sports - Announcement Trailer - Nintendo Switch,Sport,4 months ago,2.8833333333333333,"1,909,099 views",https://www.youtube.com/watch?v=TZ16-1YIRAc,190.9099
vynJxKoCaSk,1 In A Trillion Moments In Sport - Craziest Moments In Sports History,Sport,2 months ago,8.75,"1,077,325 views",https://www.youtube.com/watch?v=vynJxKoCaSk,107.7325
QjL7D33xpS4,Viagra Boys - Sports (Official Video),Sport,3 years ago,4.166666666666667,"4,656,064 views",https://www.youtube.com/watch?v=QjL7D33xpS4,465.6064
ehxCDvnfj7U,My Experience with Sports,Sport,3 years ago,8.883333333333333,"30,970,443 views",https://www.youtube.com/watch?v=ehxCDvnfj7U,3097.0443
N4wBrYyu8U8,New Range Rover Sport FULL DETAILS!,Sport,1 month ago,8.033333333333333,"1,029,834 views",https://www.youtube.com/watch?v=N4wBrYyu8U8,102.9834
XYX-IZa3rNs,All Sports Bowling Battle,Sport,2 years ago,13.083333333333334,"30,175,985 views",https://www.youtube.com/watch?v=XYX-IZa3rNs,3017.5985
o24lMCt0GvM,10 glorious minutes of BT Sport pundits past and present waxing lyrical about Messi and Ronaldo,Sport,1 year ago,9.983333333333333,"485,681 views",https://www.youtube.com/watch?v=o24lMCt0GvM,48.5681
mmzn77xOCe0,The new Porsche 911 Sport Classic​,Sport,2 months ago,3.283333333333333,"1,423,038 views",https://www.youtube.com/watch?v=mmzn77xOCe0,142.3038
