vid,start,end,text
ZpUEFhPIALk,312479,314400,gun i don't even know how a gun looks
ZpUEFhPIALk,314400,317840,sir maclean said before laughing briefly
ZpUEFhPIALk,317840,320160,defendant ted prince in his unsweetened
ZpUEFhPIALk,320160,322080,statement told the court that he was
ZpUEFhPIALk,322080,323759,just a shoemaker and that you knew
ZpUEFhPIALk,323759,325680,nothing about the gang
ZpUEFhPIALk,325680,327280,women are bill shoes mirror punk
ZpUEFhPIALk,327280,329440,construction site meaning not what this
ZpUEFhPIALk,329440,331520,witness are nothing but no shooting a
ZpUEFhPIALk,331520,333440,suspicion of no shooting means a
ZpUEFhPIALk,333440,336080,hard-working man he said
ZpUEFhPIALk,336080,337759,prince santa claus doubt on the
ZpUEFhPIALk,337759,340080,witness's integrity denial claimed that
ZpUEFhPIALk,340080,342479,he had once been shot but the defendant
ZpUEFhPIALk,342479,344479,insisted that he had never been shot
ZpUEFhPIALk,344479,345680,since birth
ZpUEFhPIALk,345680,347840,prince also denied the witness's report
ZpUEFhPIALk,347840,349360,that he had shot and killed a man at a
ZpUEFhPIALk,349360,350800,hardware store in spanish on saint
ZpUEFhPIALk,350800,352720,catherine and that would follow the gang
ZpUEFhPIALk,352720,354400,to fisheries in the parish where a
ZpUEFhPIALk,354400,355919,couple was murdered and their house set
ZpUEFhPIALk,355919,358000,ablaze i don't know this man from
ZpUEFhPIALk,358000,359840,nowhere for him to be telling all these
ZpUEFhPIALk,359840,362479,lies on me prince said the two men were
ZpUEFhPIALk,362479,364720,the last of the 26 defendants who have
ZpUEFhPIALk,364720,366560,given uncertain and so in statements in
ZpUEFhPIALk,366560,368639,their respective cases two other
ZpUEFhPIALk,368639,371039,defendants of opted remain silent
ZpUEFhPIALk,371039,373120,however the defense case is not yet
ZpUEFhPIALk,373120,374960,closed as about four lawyers are
ZpUEFhPIALk,374960,376240,awaiting the custody book from the
ZpUEFhPIALk,376240,378160,spanish town police station and the
ZpUEFhPIALk,378160,379840,prisoner's admission book from horizon
ZpUEFhPIALk,379840,382000,adult demand center the documents have
ZpUEFhPIALk,382000,383919,been subpoenaed the trend has been
ZpUEFhPIALk,383919,386479,adjourned until monday
ZpUEFhPIALk,386479,388639,newly rebuilt hopeful market in hanover
ZpUEFhPIALk,388639,389919,opens
ZpUEFhPIALk,389919,392479,more than 24 vendors will be occupying
ZpUEFhPIALk,392479,394960,the newly rebuilt opel market in hanover
ZpUEFhPIALk,394960,397039,which was officially opened on thursday
ZpUEFhPIALk,397039,398960,by a minister of local government and
ZpUEFhPIALk,398960,401600,world development desmond mckenzie the
ZpUEFhPIALk,401600,404240,modern facility constructed at a cost of
ZpUEFhPIALk,404240,406560,approximately 23 million dollars
ZpUEFhPIALk,406560,408400,replaces the old market that had fallen
ZpUEFhPIALk,408400,409919,into disrepair
ZpUEFhPIALk,409919,412720,the rebuilt structure boasts new stalls
ZpUEFhPIALk,412720,415599,fish and meat areas storage bathrooms
ZpUEFhPIALk,415599,417520,and other amenities to enhance the
ZpUEFhPIALk,417520,420160,experience of vendors and buyers it will
ZpUEFhPIALk,420160,421919,serve a population of some six thousand
ZpUEFhPIALk,421919,423680,people who live in and around the
ZpUEFhPIALk,423680,424880,township
ZpUEFhPIALk,424880,426639,in its address mckenzie said the
ZpUEFhPIALk,426639,429120,government recognizes the importance of
ZpUEFhPIALk,429120,430720,markets as the center of commerce in
ZpUEFhPIALk,430720,433039,rural towns and as such has been
ZpUEFhPIALk,433039,434720,rehabilitating facilities across the
ZpUEFhPIALk,434720,438240,island since 2016 the government led by
ZpUEFhPIALk,438240,440240,prime minister andrew holness has spent
ZpUEFhPIALk,440240,441680,quite a lot on markets across the
ZpUEFhPIALk,441680,444400,country said mackenzie we built a brand
ZpUEFhPIALk,444400,446800,new market in port maria at a cost of 60
ZpUEFhPIALk,446800,448800,million dollars we built a brand new
ZpUEFhPIALk,448800,450960,market in falmouth in trelawney this
ZpUEFhPIALk,450960,453199,market in hopewell was not renovated but
ZpUEFhPIALk,453199,455440,instead we built an entirely new market
ZpUEFhPIALk,455440,457440,for the vendors and the residents he
ZpUEFhPIALk,457440,460479,noted the local government minister said
ZpUEFhPIALk,460479,462160,work on the hopeful market was completed
ZpUEFhPIALk,462160,463840,within budget and took into
ZpUEFhPIALk,463840,465440,consideration the recommendations
ZpUEFhPIALk,465440,467759,offenders who were engaged part two and
ZpUEFhPIALk,467759,470479,during the construction he urged vendors
ZpUEFhPIALk,470479,471919,that in addition to protecting the
ZpUEFhPIALk,471919,473840,infrastructure they should also ensure
ZpUEFhPIALk,473840,475680,that they pay their market fees
ZpUEFhPIALk,475680,477199,understand that the market fees are what
ZpUEFhPIALk,477199,479199,they use to maintain the place more
ZpUEFhPIALk,479199,481199,people will be employed no so you have
ZpUEFhPIALk,481199,483599,bathrooms you need attendance you have a
ZpUEFhPIALk,483599,485840,new facility you need to have security
ZpUEFhPIALk,485840,487840,the place needs to be kept clean so it
ZpUEFhPIALk,487840,489759,means new persons have to be employed
ZpUEFhPIALk,489759,491520,mckenzie pointed out
ZpUEFhPIALk,491520,494319,he noted that the government since 2016
ZpUEFhPIALk,494319,496800,has spent more than 700 million dollars
ZpUEFhPIALk,496800,498400,to carry out various improvements in
ZpUEFhPIALk,498400,499599,hanover
ZpUEFhPIALk,499599,501520,we made a commitment to deliver and that
ZpUEFhPIALk,501520,504240,is what we're delivering he said
ZpUEFhPIALk,504240,506319,vendor junior gordon will be occupying
ZpUEFhPIALk,506319,508879,the new market told js news that he
ZpUEFhPIALk,508879,510479,feels good about the new and improved
ZpUEFhPIALk,510479,512320,facility he said that during the
ZpUEFhPIALk,512320,514640,construction phase they were relocated
ZpUEFhPIALk,514640,516959,to a car park but noted that the vendors
ZpUEFhPIALk,516959,518399,are now starting to occupy the new
ZpUEFhPIALk,518399,521039,market he gave a commitment on behalf of
ZpUEFhPIALk,521039,523200,the other vendors to protect the space
ZpUEFhPIALk,523200,524560,and keep it clean
ZpUEFhPIALk,524560,526320,i think we'll have more customers
ZpUEFhPIALk,526320,527839,because they'll be shopping in greater
ZpUEFhPIALk,527839,530320,comfort we appreciate the new market and
ZpUEFhPIALk,530320,532160,i hope they'll come and shop with us
ZpUEFhPIALk,532160,534560,said gordon
ZpUEFhPIALk,534560,537600,a distinguished an exemplary campaign pm
ZpUEFhPIALk,537600,539680,laws johnson smith following secretary
ZpUEFhPIALk,539680,541120,general defeat
ZpUEFhPIALk,541120,542560,prime minister andrew holmes today
ZpUEFhPIALk,542560,544320,commended minister of foreign affairs
ZpUEFhPIALk,544320,546240,and foreign trade committee johnson
ZpUEFhPIALk,546240,548480,smith for what he called a distinguished
ZpUEFhPIALk,548480,550800,and exemplary campaign for commonwealth
ZpUEFhPIALk,550800,553120,secretary general
ZpUEFhPIALk,553120,554800,johnson smith was defeated by the
ZpUEFhPIALk,554800,557120,incumbent baroness patricia scotland at
ZpUEFhPIALk,557120,558800,the commonwealth heads of government
ZpUEFhPIALk,558800,560640,meeting in rwanda today
ZpUEFhPIALk,560640,563040,scotland received 27 votes to johnson
ZpUEFhPIALk,563040,564720,smith's 24.
ZpUEFhPIALk,564720,566640,jamaica remains deeply proud of minister
ZpUEFhPIALk,566640,568399,johnson smith and we're happy to have
ZpUEFhPIALk,568399,570720,put forward such a strong credible and
ZpUEFhPIALk,570720,572800,competent candidate holden said in a
ZpUEFhPIALk,572800,574399,statement
ZpUEFhPIALk,574399,576320,her candidacy won of the respect and
ZpUEFhPIALk,576320,578000,admiration of many countries within our
ZpUEFhPIALk,578000,579839,commonwealth family and brought
ZpUEFhPIALk,579839,582000,prominence to jamaica and her ability to
ZpUEFhPIALk,582000,583279,contest within such a large
ZpUEFhPIALk,583279,585200,international institution wholeness
ZpUEFhPIALk,585200,587440,continued the prime minister extended
ZpUEFhPIALk,587440,589600,congratulations to scotland and express
ZpUEFhPIALk,589600,592000,jamaica's support for the commonwealth
ZpUEFhPIALk,592000,593279,jamaica continues to believe in the
ZpUEFhPIALk,593279,595680,commonwealth its diversity and its
ZpUEFhPIALk,595680,598800,potential to deliver for its people
ZpUEFhPIALk,598800,602320,jamaica reports 150 new coveted cases
ZpUEFhPIALk,602320,603600,five debts
ZpUEFhPIALk,603600,606480,jamaica reported 150 new cases of covet
ZpUEFhPIALk,606480,609519,19 and five fatalities on thursday
ZpUEFhPIALk,609519,611200,according to the latest statistics on
ZpUEFhPIALk,611200,613440,the ministry of health and wellness this
ZpUEFhPIALk,613440,615600,pushed the total number of cases of the
ZpUEFhPIALk,615600,617920,virus since the start of the pandemic to
ZpUEFhPIALk,617920,619519,142
ZpUEFhPIALk,619519,623279,161 and the death toll to 3
ZpUEFhPIALk,623279,625040,112
ZpUEFhPIALk,625040,627360,of the newly reported cases there were
ZpUEFhPIALk,627360,630640,94 females and 56 males with ages
ZpUEFhPIALk,630640,634000,ranging from 9 months to 85 years
ZpUEFhPIALk,634000,636160,the cases were recorded in kingston and
ZpUEFhPIALk,636160,637680,738
ZpUEFhPIALk,637680,640959,saint catherine 35 sent on 22 sent to
ZpUEFhPIALk,640959,644640,james 13 clarendon 10 manchester eight
ZpUEFhPIALk,644640,647680,centum seven trelloni 6 saint elizabeth
ZpUEFhPIALk,647680,650560,5 hanover 4 and westmoreland 2.
ZpUEFhPIALk,650560,653360,meanwhile the latest fatalities are an
ZpUEFhPIALk,653360,655360,81 year old man from saint catherine
ZpUEFhPIALk,655360,658240,whose death was recorded in june 2021
ZpUEFhPIALk,658240,660720,a 75 year old man from saint anne whose
ZpUEFhPIALk,660720,663360,death was recorded in june 2021 a
ZpUEFhPIALk,663360,665360,90-year-old man from saint anne whose
ZpUEFhPIALk,665360,668800,death was recorded in june 2021 a 7 year
ZpUEFhPIALk,668800,670720,old woman from saint anne whose death
ZpUEFhPIALk,670720,673760,was recorded in june 2021 and a 54 year
ZpUEFhPIALk,673760,676000,old man from clarendon whose death was
ZpUEFhPIALk,676000,678160,previously recorded under investigation
ZpUEFhPIALk,678160,680079,in july 2021
ZpUEFhPIALk,680079,681440,two more deaths reported on the
ZpUEFhPIALk,681440,683760,investigation and another was reported
ZpUEFhPIALk,683760,685279,as coincidental
ZpUEFhPIALk,685279,687600,the country also recorded 85 new
ZpUEFhPIALk,687600,689519,recoveries bringing the total number of
ZpUEFhPIALk,689519,691880,recoveries to 90
ZpUEFhPIALk,691880,694959,387. the positivity rate for the latest
ZpUEFhPIALk,694959,697600,round of testing was 21
ZpUEFhPIALk,697600,700399,there are 114 people hospitalized three
ZpUEFhPIALk,700399,702920,of them critically ill there are
ZpUEFhPIALk,702920,706000,1713 confirmed active cases on the
ZpUEFhPIALk,706000,709600,island jbn we keep you informed please
ZpUEFhPIALk,709600,712079,remember to subscribe like share leave
ZpUEFhPIALk,712079,714000,us a comment and click the notification
ZpUEFhPIALk,714000,718839,bell to receive our daily news items
